,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
0,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.6421818181818182,0.6107648725212464,0.784,0.686624203821656
1,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-91-test.csv,0.6434090909090909,0.6115708324492538,0.7860909090909091,0.6879350809499184
2,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-92-test.csv,0.6489090909090909,0.6147058823529412,0.798,0.6944620253164557
3,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-93-test.csv,0.6512727272727272,0.6184173071448904,0.79,0.6937569854702219
4,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-94-test.csv,0.6525909090909091,0.6185130269010802,0.7963636363636364,0.6962603823073561
5,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.6418181818181818,0.6125866050808314,0.7716363636363637,0.6829739298358545
6,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-91-test.csv,0.6412272727272728,0.611980105240395,0.7718181818181818,0.6826679532022675
7,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-92-test.csv,0.6483181818181818,0.6160962072155411,0.7870909090909091,0.6911747096156149
8,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-93-test.csv,0.6495,0.618899573422023,0.7781818181818182,0.689460754701784
9,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-94-test.csv,0.6503181818181818,0.6186921254755581,0.7835454545454545,0.6914283422245397
10,Gaussian Naive Bayes,Grid Search 3 folds,-,PCA,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.5906818181818182,0.5560110056712898,0.9001818181818182,0.6874240688673678
11,Gaussian Naive Bayes,Grid Search 3 folds,-,PCA,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-91-test.csv,0.5924545454545455,0.5570835204310732,0.9022727272727272,0.6888534147695724
