,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
0,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.6421818181818182,0.6125665755002159,0.7737272727272727,0.6837792239093757
1,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-91-test.csv,0.6412727272727273,0.6117181883537024,0.7735454545454545,0.6831794460056202
2,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-92-test.csv,0.6486363636363637,0.6160726962941928,0.7889090909090909,0.6918600015945149
3,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-93-test.csv,0.6501363636363636,0.6189584383778722,0.7811818181818182,0.6906723465820038
4,Gaussian Naive Bayes,Grid Search 3 folds,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-94-test.csv,0.6508181818181819,0.6188054998567746,0.7855454545454545,0.6922768787053356
5,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.6425454545454545,0.7523334406179595,0.425,0.5431625421168816
6,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-91-test.csv,0.6451818181818182,0.756011542160949,0.42872727272727273,0.5471632439958233
7,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-92-test.csv,0.645,0.7521340499525767,0.43254545454545457,0.5492323675401131
8,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-93-test.csv,0.6413181818181818,0.7528053342006831,0.4208181818181818,0.5398565514024142
9,Gaussian Naive Bayes,Holdout,-,Tree,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-94-test.csv,0.6458181818181818,0.7583762886597938,0.428,0.5471873547187355
10,Gaussian Naive Bayes,Grid Search 3 folds,-,PCA,anomaly_05_05_05-90-train.csv,anomaly_05_05_05-90-test.csv,0.5906818181818182,0.5560110056712898,0.9001818181818182,0.6874240688673678
